S-10B Google 0 0.59375 S:136.0, I:1.0, D:56.0
S-10B Kaldi 0 0.4635416666666667 S:159.0, I:1.0, D:33.0
S-10B Google 1 0.540268456375839 S:246.0, I:3.0, D:52.0
S-10B Kaldi 1 0.4228187919463087 S:271.0, I:1.0, D:27.0
S-10B Google 2 0.45930232558139533 S:290.0, I:1.0, D:54.0
S-10B Kaldi 2 0.4069767441860465 S:311.0, I:3.0, D:33.0
S-10B Google 3 0.47419354838709676 S:261.0, I:2.0, D:49.0
S-10B Kaldi 3 0.3967741935483871 S:282.0, I:2.0, D:28.0
S-10B Google 4 0.4422657952069717 S:393.0, I:2.0, D:66.0
S-10B Kaldi 4 0.33986928104575165 S:424.0, I:3.0, D:35.0
S-10B Google 5 0.4603854389721627 S:405.0, I:6.0, D:62.0
S-10B Kaldi 5 0.38329764453961457 S:434.0, I:9.0, D:33.0
S-10B Google 6 0.4588235294117647 S:142.0, I:0.0, D:28.0
S-10B Kaldi 6 0.36470588235294116 S:149.0, I:2.0, D:21.0
S-10B Google 7 0.4672131147540984 S:222.0, I:2.0, D:22.0
S-10B Kaldi 7 0.38934426229508196 S:221.0, I:0.0, D:23.0
S-10B Google 8 0.4186046511627907 S:233.0, I:0.0, D:25.0
S-10B Kaldi 8 0.31007751937984496 S:242.0, I:4.0, D:16.0
S-11C Google 0 0.49261083743842365 S:164.0, I:1.0, D:39.0
S-11C Kaldi 0 0.4236453201970443 S:190.0, I:3.0, D:13.0
S-11C Google 1 0.5680473372781065 S:112.0, I:0.0, D:57.0
S-11C Kaldi 1 0.3905325443786982 S:150.0, I:0.0, D:19.0
S-11C Google 2 0.4533678756476684 S:331.0, I:0.0, D:55.0
S-11C Kaldi 2 0.344559585492228 S:354.0, I:4.0, D:32.0
S-11C Google 3 0.4254278728606357 S:326.0, I:0.0, D:83.0
S-11C Kaldi 3 0.3765281173594132 S:365.0, I:3.0, D:44.0
S-11C Google 4 0.393526405451448 S:517.0, I:1.0, D:70.0
S-11C Kaldi 4 0.2776831345826235 S:549.0, I:2.0, D:38.0
S-11C Google 5 0.38533834586466165 S:464.0, I:1.0, D:68.0
S-11C Kaldi 5 0.2932330827067669 S:497.0, I:6.0, D:35.0
S-11C Google 6 0.46543778801843316 S:186.0, I:0.0, D:31.0
S-11C Kaldi 6 0.391705069124424 S:201.0, I:2.0, D:16.0
S-11C Google 7 0.43609022556390975 S:229.0, I:0.0, D:37.0
S-11C Kaldi 7 0.30451127819548873 S:245.0, I:0.0, D:21.0
S-11C Google 8 0.45535714285714285 S:92.0, I:1.0, D:20.0
S-11C Kaldi 8 0.4107142857142857 S:102.0, I:4.0, D:10.0
S-12D Google 0 0.6923076923076923 S:84.0, I:0.0, D:46.0
S-12D Kaldi 0 0.5307692307692308 S:108.0, I:1.0, D:22.0
S-12D Google 1 0.7371428571428571 S:106.0, I:0.0, D:69.0
